section,.imp,arm,arm_id,rows,clones,unique_stay,period_event_sum,weighted_event_sum,min_time_start_h,max_time_end_h,missing_weight_rows,mean_weight,max_weight,clone_with_event,clone_with_gt1_event,zero_period_clones,period_type,time_axis,time_start_h,time_end_h,events,weighted_events
overall,1,ALL,,803678,56735,18953,2562,2405.58889353343,0,720,0,0.990172353395664,5.93279604140948,2562,0,124,,,,,,
by_arm,1,0-3h,1,215185,18953,18953,643,584.632418860783,0,720,0,0.960020305238022,4.74054297799698,643,0,0,,,,,,
period_counts,1,0-3h,1,18953,,,,,,,,,,,,,hour,h0,0,1,0,0
period_counts,1,0-3h,1,18953,,,,,,,,,,,,,hour,h1,1,2,0,0
period_counts,1,0-3h,1,18953,,,,,,,,,,,,,hour,h2,2,3,0,0
period_counts,1,0-3h,1,3439,,,,,,,,,,,,,hour,h3,3,4,0,0
period_counts,1,0-3h,1,3439,,,,,,,,,,,,,hour,h4,4,5,0,0
period_counts,1,0-3h,1,3439,,,,,,,,,,,,,hour,h5,5,6,0,0
period_counts,1,0-3h,1,3439,,,,,,,,,,,,,hour,h6,6,7,0,0
period_counts,1,0-3h,1,3439,,,,,,,,,,,,,hour,h7,7,8,0,0
period_counts,1,0-3h,1,3439,,,,,,,,,,,,,hour,h8,8,9,0,0
period_counts,1,0-3h,1,3439,,,,,,,,,,,,,hour,h9,9,10,0,0
period_counts,1,0-3h,1,3439,,,,,,,,,,,,,hour,h10,10,11,0,0
period_counts,1,0-3h,1,3439,,,,,,,,,,,,,hour,h11,11,12,9,9.55287302590481
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h12,12,13,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h13,13,14,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h14,14,15,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h15,15,16,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h16,16,17,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h17,17,18,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h18,18,19,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h19,19,20,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h20,20,21,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h21,21,22,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h22,22,23,0,0
period_counts,1,0-3h,1,3430,,,,,,,,,,,,,hour,h23,23,24,66,73.9391084154109
period_counts,1,0-3h,1,3364,,,,,,,,,,,,,day,day2,24,48,69,51.2245906200689
period_counts,1,0-3h,1,3295,,,,,,,,,,,,,day,day3,48,72,49,45.7665163865452
period_counts,1,0-3h,1,3246,,,,,,,,,,,,,day,day4,72,96,41,29.5207266321237
period_counts,1,0-3h,1,3205,,,,,,,,,,,,,day,day5,96,120,44,40.3426387114826
period_counts,1,0-3h,1,3161,,,,,,,,,,,,,day,day6,120,144,35,35.4439517779705
period_counts,1,0-3h,1,3126,,,,,,,,,,,,,day,day7,144,168,39,29.5889820161161
period_counts,1,0-3h,1,3087,,,,,,,,,,,,,day,day8,168,192,31,25.7454778749316
period_counts,1,0-3h,1,3056,,,,,,,,,,,,,day,day9,192,216,24,23.0582125706841
period_counts,1,0-3h,1,3032,,,,,,,,,,,,,day,day10,216,240,20,17.5436338537412
period_counts,1,0-3h,1,3012,,,,,,,,,,,,,day,day11,240,264,21,19.4095363438825
period_counts,1,0-3h,1,2991,,,,,,,,,,,,,day,day12,264,288,16,17.2496396748173
period_counts,1,0-3h,1,2975,,,,,,,,,,,,,day,day13,288,312,11,7.02950227015176
period_counts,1,0-3h,1,2964,,,,,,,,,,,,,day,day14,312,336,19,17.7048017540726
period_counts,1,0-3h,1,2945,,,,,,,,,,,,,day,day15,336,360,14,12.9825815832625
period_counts,1,0-3h,1,2931,,,,,,,,,,,,,day,day16,360,384,16,14.1776742984295
period_counts,1,0-3h,1,2915,,,,,,,,,,,,,day,day17,384,408,17,19.2123369144441
period_counts,1,0-3h,1,2898,,,,,,,,,,,,,day,day18,408,432,17,16.2572718671378
period_counts,1,0-3h,1,2881,,,,,,,,,,,,,day,day19,432,456,9,8.63955383857638
period_counts,1,0-3h,1,2872,,,,,,,,,,,,,day,day20,456,480,14,11.6508447165954
period_counts,1,0-3h,1,2858,,,,,,,,,,,,,day,day21,480,504,9,6.03491418162959
period_counts,1,0-3h,1,2849,,,,,,,,,,,,,day,day22,504,528,7,6.30197587735501
period_counts,1,0-3h,1,2842,,,,,,,,,,,,,day,day23,528,552,7,8.25620523085424
period_counts,1,0-3h,1,2835,,,,,,,,,,,,,day,day24,552,576,6,10.1365321995844
period_counts,1,0-3h,1,2829,,,,,,,,,,,,,day,day25,576,600,10,8.98879751591766
period_counts,1,0-3h,1,2819,,,,,,,,,,,,,day,day26,600,624,4,6.53066326746163
period_counts,1,0-3h,1,2815,,,,,,,,,,,,,day,day27,624,648,6,3.4813275111297
period_counts,1,0-3h,1,2809,,,,,,,,,,,,,day,day28,648,672,5,2.86533380740334
period_counts,1,0-3h,1,2804,,,,,,,,,,,,,day,day29,672,696,5,2.72071267544926
period_counts,1,0-3h,1,2799,,,,,,,,,,,,,day,day30,696,720,3,3.27550144764931
by_arm,1,3-6h,2,236628,18891,18891,733,681.177960877403,0,720,0,0.982867532082392,2.34633991871289,733,0,62,,,,,,
period_counts,1,3-6h,2,18891,,,,,,,,,,,,,hour,h0,0,1,0,0
period_counts,1,3-6h,2,17408,,,,,,,,,,,,,hour,h1,1,2,0,0
period_counts,1,3-6h,2,16408,,,,,,,,,,,,,hour,h2,2,3,0,0
period_counts,1,3-6h,2,15514,,,,,,,,,,,,,hour,h3,3,4,0,0
period_counts,1,3-6h,2,15514,,,,,,,,,,,,,hour,h4,4,5,0,0
period_counts,1,3-6h,2,15514,,,,,,,,,,,,,hour,h5,5,6,0,0
period_counts,1,3-6h,2,3241,,,,,,,,,,,,,hour,h6,6,7,0,0
period_counts,1,3-6h,2,3241,,,,,,,,,,,,,hour,h7,7,8,0,0
period_counts,1,3-6h,2,3241,,,,,,,,,,,,,hour,h8,8,9,0,0
period_counts,1,3-6h,2,3241,,,,,,,,,,,,,hour,h9,9,10,0,0
period_counts,1,3-6h,2,3241,,,,,,,,,,,,,hour,h10,10,11,0,0
period_counts,1,3-6h,2,3241,,,,,,,,,,,,,hour,h11,11,12,4,3.17695399442726
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h12,12,13,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h13,13,14,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h14,14,15,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h15,15,16,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h16,16,17,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h17,17,18,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h18,18,19,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h19,19,20,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h20,20,21,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h21,21,22,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h22,22,23,0,0
period_counts,1,3-6h,2,3237,,,,,,,,,,,,,hour,h23,23,24,62,54.7752492877783
period_counts,1,3-6h,2,3175,,,,,,,,,,,,,day,day2,24,48,78,67.9937217440372
period_counts,1,3-6h,2,3097,,,,,,,,,,,,,day,day3,48,72,58,47.3553849235481
period_counts,1,3-6h,2,3039,,,,,,,,,,,,,day,day4,72,96,44,43.7543245653123
period_counts,1,3-6h,2,2995,,,,,,,,,,,,,day,day5,96,120,49,45.0621235998232
period_counts,1,3-6h,2,2946,,,,,,,,,,,,,day,day6,120,144,37,34.5799028421952
period_counts,1,3-6h,2,2909,,,,,,,,,,,,,day,day7,144,168,32,28.5982908128014
period_counts,1,3-6h,2,2877,,,,,,,,,,,,,day,day8,168,192,36,35.8371707397219
period_counts,1,3-6h,2,2841,,,,,,,,,,,,,day,day9,192,216,30,28.5103791602143
period_counts,1,3-6h,2,2811,,,,,,,,,,,,,day,day10,216,240,33,31.6233429908695
period_counts,1,3-6h,2,2778,,,,,,,,,,,,,day,day11,240,264,22,21.2290979922952
period_counts,1,3-6h,2,2756,,,,,,,,,,,,,day,day12,264,288,21,21.4189146334001
period_counts,1,3-6h,2,2735,,,,,,,,,,,,,day,day13,288,312,14,14.4292779060516
period_counts,1,3-6h,2,2721,,,,,,,,,,,,,day,day14,312,336,21,18.4450396199868
period_counts,1,3-6h,2,2700,,,,,,,,,,,,,day,day15,336,360,14,13.5242131339371
period_counts,1,3-6h,2,2686,,,,,,,,,,,,,day,day16,360,384,21,20.9432097966852
period_counts,1,3-6h,2,2665,,,,,,,,,,,,,day,day17,384,408,28,26.1172010206157
period_counts,1,3-6h,2,2637,,,,,,,,,,,,,day,day18,408,432,16,16.1120141757456
period_counts,1,3-6h,2,2621,,,,,,,,,,,,,day,day19,432,456,10,9.94421263996029
period_counts,1,3-6h,2,2611,,,,,,,,,,,,,day,day20,456,480,14,12.1022601393993
period_counts,1,3-6h,2,2597,,,,,,,,,,,,,day,day21,480,504,7,5.59924012978577
period_counts,1,3-6h,2,2590,,,,,,,,,,,,,day,day22,504,528,16,15.8432851940212
period_counts,1,3-6h,2,2574,,,,,,,,,,,,,day,day23,528,552,18,18.0685977450945
period_counts,1,3-6h,2,2556,,,,,,,,,,,,,day,day24,552,576,7,6.04274065146102
period_counts,1,3-6h,2,2549,,,,,,,,,,,,,day,day25,576,600,12,11.7128273078667
period_counts,1,3-6h,2,2537,,,,,,,,,,,,,day,day26,600,624,4,4.22779455449565
period_counts,1,3-6h,2,2533,,,,,,,,,,,,,day,day27,624,648,8,8.2434515476055
period_counts,1,3-6h,2,2525,,,,,,,,,,,,,day,day28,648,672,9,8.90380004747223
period_counts,1,3-6h,2,2516,,,,,,,,,,,,,day,day29,672,696,4,3.4633687686435
period_counts,1,3-6h,2,2512,,,,,,,,,,,,,day,day30,696,720,4,3.540569212151
by_arm,1,6-12h,3,351865,18891,18891,1186,1139.77851379524,0,720,0,1.01352447350002,5.93279604140948,1186,0,62,,,,,,
period_counts,1,6-12h,3,18891,,,,,,,,,,,,,hour,h0,0,1,0,0
period_counts,1,6-12h,3,17408,,,,,,,,,,,,,hour,h1,1,2,0,0
period_counts,1,6-12h,3,16408,,,,,,,,,,,,,hour,h2,2,3,0,0
period_counts,1,6-12h,3,15514,,,,,,,,,,,,,hour,h3,3,4,0,0
period_counts,1,6-12h,3,14507,,,,,,,,,,,,,hour,h4,4,5,0,0
period_counts,1,6-12h,3,13434,,,,,,,,,,,,,hour,h5,5,6,0,0
period_counts,1,6-12h,3,12273,,,,,,,,,,,,,hour,h6,6,7,0,0
period_counts,1,6-12h,3,12273,,,,,,,,,,,,,hour,h7,7,8,0,0
period_counts,1,6-12h,3,12273,,,,,,,,,,,,,hour,h8,8,9,0,0
period_counts,1,6-12h,3,12273,,,,,,,,,,,,,hour,h9,9,10,0,0
period_counts,1,6-12h,3,12273,,,,,,,,,,,,,hour,h10,10,11,0,0
period_counts,1,6-12h,3,12273,,,,,,,,,,,,,hour,h11,11,12,15,17.5867636097349
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h12,12,13,0,0
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h13,13,14,0,0
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h14,14,15,0,0
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h15,15,16,0,0
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h16,16,17,0,0
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h17,17,18,0,0
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h18,18,19,0,0
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h19,19,20,0,0
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h20,20,21,0,0
period_counts,1,6-12h,3,5012,,,,,,,,,,,,,hour,h21,21,22,0,0
