section,.imp,arm,arm_id,rows,clone_ids,events,event_rate,t_hour,clones,adherent,final_weight_nonmissing,adherent_missing_final_weight,adherent_not_reached_arm_end,natural_censor_before_arm_end,empty_ipcw_product,analyzable,mismatch,missing_delay_window,numerator_formula,denominator_formula
model_counts,1,0-3h,1,75799,18950,15512,0.204646499294186,,,,,,,,,,,,,
model_counts,1,3-6h,2,118179,18950,15708,0.132917015713452,,,,,,,,,,,,,
model_counts,1,6-12h,3,188670,18950,13922,0.0737902157205703,,,,,,,,,,,,,
model_counts,2,0-3h,1,75799,18950,15512,0.204646499294186,,,,,,,,,,,,,
model_counts,2,3-6h,2,118179,18950,15708,0.132917015713452,,,,,,,,,,,,,
model_counts,2,6-12h,3,188670,18950,13922,0.0737902157205703,,,,,,,,,,,,,
model_counts,3,0-3h,1,75799,18950,15512,0.204646499294186,,,,,,,,,,,,,
model_counts,3,3-6h,2,118179,18950,15708,0.132917015713452,,,,,,,,,,,,,
model_counts,3,6-12h,3,188670,18950,13922,0.0737902157205703,,,,,,,,,,,,,
model_counts,4,0-3h,1,75799,18950,15512,0.204646499294186,,,,,,,,,,,,,
model_counts,4,3-6h,2,118179,18950,15708,0.132917015713452,,,,,,,,,,,,,
model_counts,4,6-12h,3,188670,18950,13922,0.0737902157205703,,,,,,,,,,,,,
model_counts,5,0-3h,1,75799,18950,15512,0.204646499294186,,,,,,,,,,,,,
model_counts,5,3-6h,2,118179,18950,15708,0.132917015713452,,,,,,,,,,,,,
model_counts,5,6-12h,3,188670,18950,13922,0.0737902157205703,,,,,,,,,,,,,
event_by_hour,1,0-3h,1,18950,,0,,0,,,,,,,,,,,,
event_by_hour,1,0-3h,1,18950,,0,,1,,,,,,,,,,,,
event_by_hour,1,0-3h,1,18950,,0,,2,,,,,,,,,,,,
event_by_hour,1,0-3h,1,18949,,15512,,3,,,,,,,,,,,,
event_by_hour,1,3-6h,2,18950,,62,,0,,,,,,,,,,,,
event_by_hour,1,3-6h,2,18888,,1483,,1,,,,,,,,,,,,
event_by_hour,1,3-6h,2,17405,,999,,2,,,,,,,,,,,,
event_by_hour,1,3-6h,2,16406,,894,,3,,,,,,,,,,,,
event_by_hour,1,3-6h,2,15512,,0,,4,,,,,,,,,,,,
event_by_hour,1,3-6h,2,15510,,0,,5,,,,,,,,,,,,
event_by_hour,1,3-6h,2,15508,,12270,,6,,,,,,,,,,,,
event_by_hour,1,6-12h,3,18950,,62,,0,,,,,,,,,,,,
event_by_hour,1,6-12h,3,18888,,1483,,1,,,,,,,,,,,,
event_by_hour,1,6-12h,3,17405,,999,,2,,,,,,,,,,,,
event_by_hour,1,6-12h,3,16406,,894,,3,,,,,,,,,,,,
event_by_hour,1,6-12h,3,15512,,1007,,4,,,,,,,,,,,,
event_by_hour,1,6-12h,3,14503,,1071,,5,,,,,,,,,,,,
event_by_hour,1,6-12h,3,13431,,1161,,6,,,,,,,,,,,,
event_by_hour,1,6-12h,3,12266,,0,,7,,,,,,,,,,,,
event_by_hour,1,6-12h,3,12263,,0,,8,,,,,,,,,,,,
event_by_hour,1,6-12h,3,12263,,0,,9,,,,,,,,,,,,
event_by_hour,1,6-12h,3,12262,,0,,10,,,,,,,,,,,,
event_by_hour,1,6-12h,3,12261,,0,,11,,,,,,,,,,,,
event_by_hour,1,6-12h,3,12260,,7245,,12,,,,,,,,,,,,
event_by_hour,2,0-3h,1,18950,,0,,0,,,,,,,,,,,,
event_by_hour,2,0-3h,1,18950,,0,,1,,,,,,,,,,,,
event_by_hour,2,0-3h,1,18950,,0,,2,,,,,,,,,,,,
event_by_hour,2,0-3h,1,18949,,15512,,3,,,,,,,,,,,,
event_by_hour,2,3-6h,2,18950,,62,,0,,,,,,,,,,,,
event_by_hour,2,3-6h,2,18888,,1483,,1,,,,,,,,,,,,
event_by_hour,2,3-6h,2,17405,,999,,2,,,,,,,,,,,,
event_by_hour,2,3-6h,2,16406,,894,,3,,,,,,,,,,,,
event_by_hour,2,3-6h,2,15512,,0,,4,,,,,,,,,,,,
event_by_hour,2,3-6h,2,15510,,0,,5,,,,,,,,,,,,
event_by_hour,2,3-6h,2,15508,,12270,,6,,,,,,,,,,,,
event_by_hour,2,6-12h,3,18950,,62,,0,,,,,,,,,,,,
event_by_hour,2,6-12h,3,18888,,1483,,1,,,,,,,,,,,,
event_by_hour,2,6-12h,3,17405,,999,,2,,,,,,,,,,,,
event_by_hour,2,6-12h,3,16406,,894,,3,,,,,,,,,,,,
event_by_hour,2,6-12h,3,15512,,1007,,4,,,,,,,,,,,,
event_by_hour,2,6-12h,3,14503,,1071,,5,,,,,,,,,,,,
