.imp,arm,arm_id,truncation,n,mean,sd,min,p01,p05,p25,median,p75,p95,p99,max,gt10,gt20,gt50
1,0-3h,1,none,3439,0.94261490450138,0.646364452150662,0.18223162129233,0.193377946829905,0.242317476341536,0.46859616889791,0.708887275007344,1.34454364743354,2.12672582468974,3.0257197469691,4.74054297799698,0,0,0
1,0-3h,1,p01_p99,3439,0.936402287181174,0.621042020879031,0.193377946829905,0.193505331907752,0.242317476341536,0.46859616889791,0.708887275007344,1.34454364743354,2.12672582468974,3.02223091892859,3.0257197469691,0,0,0
1,0-3h,1,p05_p95,3439,0.918416801395953,0.569010825703292,0.242317476341536,0.242317476341536,0.242352592873116,0.46859616889791,0.708887275007344,1.34454364743354,2.12664964555372,2.12672582468974,2.12672582468974,0,0,0
1,3-6h,2,none,3241,0.96476643672485,0.281368205322046,0.283386512693482,0.429352108792253,0.569362169784172,0.77031421505243,0.941865069461585,1.05951698699986,1.51632471675116,1.79556949241347,2.34633991871289,0,0,0
1,3-6h,2,p01_p99,3241,0.963986337321174,0.276221059152187,0.429352108792253,0.430746781177947,0.569362169784172,0.77031421505243,0.941865069461585,1.05951698699986,1.51632471675116,1.79509992812912,1.79556949241347,0,0,0
1,3-6h,2,p05_p95,3241,0.959910499044144,0.250499637068672,0.569362169784172,0.569362169784172,0.569362169784172,0.77031421505243,0.941865069461585,1.05951698699986,1.51632471675116,1.51632471675116,1.51632471675116,0,0,0
1,6-12h,3,none,5017,1.01911727372348,0.562157570513703,0.468160212364177,0.554782935971671,0.635295487253547,0.75548783133253,0.817991983430636,0.991959573456072,2.34534352320421,3.22899396949669,5.93279604140948,0,0,0
1,6-12h,3,p01_p99,5017,1.0139156366903,0.534623063319836,0.554782935971671,0.554860826846919,0.635295487253547,0.75548783133253,0.817991983430636,0.991959573456072,2.34534352320421,3.22853106405259,3.22899396949669,0,0,0
1,6-12h,3,p05_p95,5017,0.990048617456184,0.443384011655363,0.635295487253547,0.635295487253547,0.635515957959487,0.75548783133253,0.817991983430636,0.991959573456072,2.34455417462416,2.34534352320421,2.34534352320421,0,0,0
2,0-3h,1,none,3439,0.942610612421416,0.646431960245382,0.182231281442955,0.193372902472958,0.242337114938259,0.468608945372776,0.70881365784198,1.34459654717946,2.12715083202605,3.02510165770173,4.74213187427121,0,0,0
