.imp,variable,variable_label,level,arm,arm_id,n_level,pct_level,weighted_pct_level,min_n_across_arms,min_weighted_pct_across_arms,zero_count_arm_n
1,sex_factor,Sex,F,0-3h,1,1399,0.406804303576621,0.41678307771322,1399,0.41678307771322,0
1,sex_factor,Sex,F,3-6h,2,1414,0.436285097192225,0.425758748839683,1399,0.41678307771322,0
1,sex_factor,Sex,F,6-12h,3,2205,0.439505680685669,0.431280181860044,1399,0.41678307771322,0
1,sex_factor,Sex,M,0-3h,1,2040,0.593195696423379,0.58321692228678,1827,0.568719818139956,0
1,sex_factor,Sex,M,3-6h,2,1827,0.563714902807775,0.574241251160317,1827,0.568719818139956,0
1,sex_factor,Sex,M,6-12h,3,2812,0.560494319314331,0.568719818139956,1827,0.568719818139956,0
2,sex_factor,Sex,F,0-3h,1,1399,0.406804303576621,0.416796841618591,1399,0.416796841618591,0
2,sex_factor,Sex,F,3-6h,2,1414,0.436285097192225,0.425743624996225,1399,0.416796841618591,0
2,sex_factor,Sex,F,6-12h,3,2205,0.439505680685669,0.431273779981314,1399,0.416796841618591,0
2,sex_factor,Sex,M,0-3h,1,2040,0.593195696423379,0.583203158381409,1827,0.568726220018686,0
2,sex_factor,Sex,M,3-6h,2,1827,0.563714902807775,0.574256375003776,1827,0.568726220018686,0
2,sex_factor,Sex,M,6-12h,3,2812,0.560494319314331,0.568726220018686,1827,0.568726220018686,0
3,sex_factor,Sex,F,0-3h,1,1399,0.406804303576621,0.416811346219708,1399,0.416811346219708,0
3,sex_factor,Sex,F,3-6h,2,1414,0.436285097192225,0.42574509787364,1399,0.416811346219708,0
3,sex_factor,Sex,F,6-12h,3,2205,0.439505680685669,0.431275651909666,1399,0.416811346219708,0
3,sex_factor,Sex,M,0-3h,1,2040,0.593195696423379,0.583188653780292,1827,0.568724348090334,0
3,sex_factor,Sex,M,3-6h,2,1827,0.563714902807775,0.57425490212636,1827,0.568724348090334,0
3,sex_factor,Sex,M,6-12h,3,2812,0.560494319314331,0.568724348090334,1827,0.568724348090334,0
4,sex_factor,Sex,F,0-3h,1,1399,0.406804303576621,0.416824871089777,1399,0.416824871089777,0
4,sex_factor,Sex,F,3-6h,2,1414,0.436285097192225,0.425752739915098,1399,0.416824871089777,0
4,sex_factor,Sex,F,6-12h,3,2205,0.439505680685669,0.4312780699418,1399,0.416824871089777,0
4,sex_factor,Sex,M,0-3h,1,2040,0.593195696423379,0.583175128910224,1827,0.5687219300582,0
4,sex_factor,Sex,M,3-6h,2,1827,0.563714902807775,0.574247260084902,1827,0.5687219300582,0
4,sex_factor,Sex,M,6-12h,3,2812,0.560494319314331,0.5687219300582,1827,0.5687219300582,0
5,sex_factor,Sex,F,0-3h,1,1399,0.406804303576621,0.416809230617704,1399,0.416809230617704,0
5,sex_factor,Sex,F,3-6h,2,1414,0.436285097192225,0.425747480124776,1399,0.416809230617704,0
5,sex_factor,Sex,F,6-12h,3,2205,0.439505680685669,0.431279579888115,1399,0.416809230617704,0
5,sex_factor,Sex,M,0-3h,1,2040,0.593195696423379,0.583190769382295,1827,0.568720420111885,0
5,sex_factor,Sex,M,3-6h,2,1827,0.563714902807775,0.574252519875224,1827,0.568720420111885,0
5,sex_factor,Sex,M,6-12h,3,2812,0.560494319314331,0.568720420111885,1827,0.568720420111885,0
1,race_group,Race group,ASIAN,0-3h,1,97,0.0282058738005234,0.0271430169141247,83,0.0271430169141247,0
1,race_group,Race group,ASIAN,3-6h,2,83,0.0256093798210429,0.0285845554492595,83,0.0271430169141247,0
1,race_group,Race group,ASIAN,6-12h,3,172,0.0342834363165238,0.0304628933128438,83,0.0271430169141247,0
1,race_group,Race group,BLACK,0-3h,1,208,0.0604826984588543,0.0843623696889951,208,0.0793817301122633,0
1,race_group,Race group,BLACK,3-6h,2,265,0.0817648873804381,0.0793817301122633,208,0.0793817301122633,0
1,race_group,Race group,BLACK,6-12h,3,499,0.0994618297787522,0.0825836573048385,208,0.0793817301122633,0
1,race_group,Race group,HISPANIC,0-3h,1,114,0.0331491712707182,0.0322623724844927,101,0.0314177680776873,0
