.imp,arm,arm_id,variable,variable_label,n,weighted_mean,min,p01,p05,p95,p99,max,common_p01_low,common_p99_high,n_overlap_eval,outside_common_p01_p99_n,outside_common_p01_p99_pct,common_p05_low,common_p95_high,outside_common_p05_p95_n,outside_common_p05_p95_pct
1,3-6h,2,age_at_icu_model,Age,3241,65.9272698262336,18,22,32,91,92,98,23,91,3241,83,0.0256093798210429,33,88,409,0.126195618636223
1,6-12h,3,age_at_icu_model,Age,5017,65.9460257243174,18,23,33,91,93,103,23,91,5017,159,0.0316922463623679,33,88,649,0.129360175403628
1,0-3h,1,age_at_icu_model,Age,3439,65.6225747739938,18,21,31,88,91,96,23,91,3439,75,0.021808665309683,33,88,359,0.10439081128235
2,3-6h,2,age_at_icu_model,Age,3241,65.9271185096983,18,22,32,91,92,98,23,91,3241,83,0.0256093798210429,33,88,409,0.126195618636223
2,6-12h,3,age_at_icu_model,Age,5017,65.9463982273997,18,23,33,91,93,103,23,91,5017,159,0.0316922463623679,33,88,649,0.129360175403628
2,0-3h,1,age_at_icu_model,Age,3439,65.622581976609,18,21,31,88,91,96,23,91,3439,75,0.021808665309683,33,88,359,0.10439081128235
3,3-6h,2,age_at_icu_model,Age,3241,65.9273264108059,18,22,32,91,92,98,23,91,3241,83,0.0256093798210429,33,88,409,0.126195618636223
3,6-12h,3,age_at_icu_model,Age,5017,65.9462929245555,18,23,33,91,93,103,23,91,5017,159,0.0316922463623679,33,88,649,0.129360175403628
3,0-3h,1,age_at_icu_model,Age,3439,65.6225331677453,18,21,31,88,91,96,23,91,3439,75,0.021808665309683,33,88,359,0.10439081128235
4,3-6h,2,age_at_icu_model,Age,3241,65.9271898685704,18,22,32,91,92,98,23,91,3241,83,0.0256093798210429,33,88,409,0.126195618636223
4,6-12h,3,age_at_icu_model,Age,5017,65.946252655521,18,23,33,91,93,103,23,91,5017,159,0.0316922463623679,33,88,649,0.129360175403628
4,0-3h,1,age_at_icu_model,Age,3439,65.6220436113495,18,21,31,88,91,96,23,91,3439,75,0.021808665309683,33,88,359,0.10439081128235
5,3-6h,2,age_at_icu_model,Age,3241,65.9273108719364,18,22,32,91,92,98,23,91,3241,83,0.0256093798210429,33,88,409,0.126195618636223
5,6-12h,3,age_at_icu_model,Age,5017,65.9462312495177,18,23,33,91,93,103,23,91,5017,159,0.0316922463623679,33,88,649,0.129360175403628
5,0-3h,1,age_at_icu_model,Age,3439,65.6225819148594,18,21,31,88,91,96,23,91,3439,75,0.021808665309683,33,88,359,0.10439081128235
1,3-6h,2,charlson_comorbidity_index_model,Charlson comorbidity index,3241,5.20775208971616,0,0,0,10,13,18,0,12,3241,38,0.01172477630361,1,10,321,0.0990435050910213
