"variable","missing_n","missing_pct","early_missing_n","early_missing_pct","late_missing_n","late_missing_pct"
"age_model",0,0,0,0,0,0
"apache_score_iva_model",350,10.85,228,11.14,122,10.35
"vent_model",70,2.17,50,2.44,20,1.7
"intubated_model",70,2.17,50,2.44,20,1.7
"dialysis_model",70,2.17,50,2.44,20,1.7
"diabetes_model",70,2.17,50,2.44,20,1.7
"cirrhosis_model",70,2.17,50,2.44,20,1.7
"immunosuppression_model",70,2.17,50,2.44,20,1.7
"hepaticfailure_model",70,2.17,50,2.44,20,1.7
"metastaticcancer_model",70,2.17,50,2.44,20,1.7
"gender_factor",1,0.03,1,0.05,0,0
"ethnicity_group",41,1.27,30,1.47,11,0.93
"unit_admit_source_group",0,0,0,0,0,0
"unit_type_group",0,0,0,0,0,0
"hosp_window_volume_bucket_factor",0,0,0,0,0,0
