section,.imp,arm,arm_id,rows,clone_ids,events,event_rate,numerator_converged,denominator_converged,denominator_rank,denominator_coef_n,numerator_formula,denominator_formula,clones,adherent,final_weight_nonmissing,adherent_missing_final_weight,adherent_not_reached_arm_end,natural_censor_before_arm_end,empty_ipcw_product,artificial_censor_event,t_hour,age_model,apache_score_iva_model,apache_score_iva_model_missing_ind,gender_factor,ethnicity_group,unit_admit_source_group,unit_type_group,hosp_window_volume_bucket_factor,hosp_zero_abx_reporting_ind,diabetes_model,diabetes_model_missing_ind
model_counts,1,0-3h,1,12884,3225,1177,0.0913536168891648,,,,,,,,,,,,,,,,,,,,,,,,,,
model_counts,1,3-12h,2,20995,3225,2043,0.097308883067397,,,,,,,,,,,,,,,,,,,,,,,,,,
model_counts,2,0-3h,1,12884,3225,1177,0.0913536168891648,,,,,,,,,,,,,,,,,,,,,,,,,,
model_counts,2,3-12h,2,20995,3225,2043,0.097308883067397,,,,,,,,,,,,,,,,,,,,,,,,,,
model_counts,3,0-3h,1,12884,3225,1177,0.0913536168891648,,,,,,,,,,,,,,,,,,,,,,,,,,
model_counts,3,3-12h,2,20995,3225,2043,0.097308883067397,,,,,,,,,,,,,,,,,,,,,,,,,,
model_counts,4,0-3h,1,12884,3225,1177,0.0913536168891648,,,,,,,,,,,,,,,,,,,,,,,,,,
model_counts,4,3-12h,2,20995,3225,2043,0.097308883067397,,,,,,,,,,,,,,,,,,,,,,,,,,
model_counts,5,0-3h,1,12884,3225,1177,0.0913536168891648,,,,,,,,,,,,,,,,,,,,,,,,,,
model_counts,5,3-12h,2,20995,3225,2043,0.097308883067397,,,,,,,,,,,,,,,,,,,,,,,,,,
fit_log,1,0-3h,,12884,,1177,,TRUE,TRUE,28,28,artificial_censor_event ~ factor(t_hour),artificial_censor_event ~ factor(t_hour) + age_model + apache_score_iva_model + apache_score_iva_model_missing_ind + gender_factor + ethnicity_group + unit_admit_source_group + unit_type_group + hosp_window_volume_bucket_factor + diabetes_model + diabetes_model_missing_ind,,,,,,,,,,,,,,,,,,,,
fit_log,1,3-12h,,20995,,2043,,TRUE,TRUE,37,37,artificial_censor_event ~ factor(t_hour),artificial_censor_event ~ factor(t_hour) + age_model + apache_score_iva_model + apache_score_iva_model_missing_ind + gender_factor + ethnicity_group + unit_admit_source_group + unit_type_group + hosp_window_volume_bucket_factor + diabetes_model + diabetes_model_missing_ind,,,,,,,,,,,,,,,,,,,,
fit_log,2,0-3h,,12884,,1177,,TRUE,TRUE,28,28,artificial_censor_event ~ factor(t_hour),artificial_censor_event ~ factor(t_hour) + age_model + apache_score_iva_model + apache_score_iva_model_missing_ind + gender_factor + ethnicity_group + unit_admit_source_group + unit_type_group + hosp_window_volume_bucket_factor + diabetes_model + diabetes_model_missing_ind,,,,,,,,,,,,,,,,,,,,
fit_log,2,3-12h,,20995,,2043,,TRUE,TRUE,37,37,artificial_censor_event ~ factor(t_hour),artificial_censor_event ~ factor(t_hour) + age_model + apache_score_iva_model + apache_score_iva_model_missing_ind + gender_factor + ethnicity_group + unit_admit_source_group + unit_type_group + hosp_window_volume_bucket_factor + diabetes_model + diabetes_model_missing_ind,,,,,,,,,,,,,,,,,,,,
