"model_id","model_label","contrast_label","or","or_low","or_high","or_ci","p_value","p_value_fmt","direction","statistical_note","m_used"
"crude_glm","Main arm2: Crude logistic","3-12h vs 0-3h",1.07714167339528,0.901915802665235,1.28641075046716,"1.08 (0.90-1.29)",0.412024061541094,"0.412","Late arm has higher estimated odds","Not statistically significant",5
"main_glm","Main arm2: Adjusted logistic","3-12h vs 0-3h",1.12208905502964,0.920004474388297,1.3685627434089,"1.12 (0.92-1.37)",0.255533171115281,"0.256","Late arm has higher estimated odds","Not statistically significant",5
"main_hospital_random_intercept_glmm","Main arm2: Adjusted logistic + hospital random intercept","3-12h vs 0-3h",1.11405460223527,0.911502214363221,1.36161781859042,"1.11 (0.91-1.36)",0.291456847169641,"0.291","Late arm has higher estimated odds","Not statistically significant",5
"support_expanded_glm","Main arm2: Support-expanded sensitivity","3-12h vs 0-3h",1.12977457760377,0.925659951887796,1.37889793503188,"1.13 (0.93-1.38)",0.230073850380072,"0.230","Late arm has higher estimated odds","Not statistically significant",5
"rare_comorbidity_glm","Main arm2: Rare-comorbidity sensitivity","3-12h vs 0-3h",1.13377670595822,0.928647636455915,1.38421675618457,"1.13 (0.93-1.38)",0.217571712885264,"0.218","Late arm has higher estimated odds","Not statistically significant",5
"sensitivity_crude_glm","Sensitivity >12-72h: crude logistic",">12-72h vs 0-3h",0.875772041489738,0.721320297792409,1.06329555816248,"0.88 (0.72-1.06)",0.180248824190676,"0.180","Late arm has lower estimated odds","Not statistically significant",5
"sensitivity_adjusted_glm","Sensitivity >12-72h: adjusted logistic",">12-72h vs 0-3h",0.978082054236896,0.784479152716584,1.21946453453541,"0.98 (0.78-1.22)",0.843886336107465,"0.844","Late arm has lower estimated odds","Not statistically significant",5
"sensitivity_hospital_random_intercept_glmm","Sensitivity >12-72h: adjusted logistic + hospital random intercept",">12-72h vs 0-3h",0.993038554633335,0.794334944173178,1.2414480544032,"0.99 (0.79-1.24)",0.95109918595229,"0.951","Late arm has lower estimated odds","Not statistically significant",5
"sensitivity_support_expanded_glm","Sensitivity >12-72h: support-expanded",">12-72h vs 0-3h",0.967664112821631,0.775078374212266,1.20810213056781,"0.97 (0.78-1.21)",0.771582735088978,"0.772","Late arm has lower estimated odds","Not statistically significant",5
"sensitivity_rare_comorbidity_glm","Sensitivity >12-72h: rare-comorbidity",">12-72h vs 0-3h",0.981160869085712,0.785986875667851,1.22479990547812,"0.98 (0.79-1.22)",0.86653105678996,"0.867","Late arm has lower estimated odds","Not statistically significant",5
