row_type,section,characteristic,overall,window_0_3h,window_3_6h,window_6_12h,window_ge12h,max_smd
section,Demographics,Demographics,"","","","","",""
data,"","Age, years","68 [56, 79]","65 [54, 76]","67 [55, 79]","68 [56, 80]","69 [58, 79]",0.206
data,"",Male sex,"10,464 (57.6%)","2,040 (59.3%)","1,827 (56.4%)","2,812 (56.0%)","3,785 (58.5%)",0.066
section,Race,Race,"","","","","",""
data,"",White,"11,674 (64.3%)","2,133 (62.0%)","2,048 (63.2%)","3,333 (66.4%)","4,160 (64.3%)",0.092
data,"",Black,"1,587 (8.7%)",208 (6.0%),265 (8.2%),499 (9.9%),615 (9.5%),0.144
data,"",Asian,540 (3.0%),97 (2.8%),83 (2.6%),172 (3.4%),188 (2.9%),0.051
data,"",Hispanic,618 (3.4%),114 (3.3%),101 (3.1%),179 (3.6%),224 (3.5%),0.025
data,"",Other race,756 (4.2%),151 (4.4%),131 (4.0%),190 (3.8%),284 (4.4%),0.030
data,"",Unknown race,"2,992 (16.5%)",736 (21.4%),613 (18.9%),644 (12.8%),999 (15.4%),0.229
section,Admission type,Admission type,"","","","","",""
data,"",Emergency,"10,899 (60.0%)","1,301 (37.8%)","2,215 (68.3%)","3,794 (75.6%)","3,589 (55.5%)",0.825
data,"",Urgent,"3,623 (19.9%)","1,325 (38.5%)",572 (17.6%),514 (10.2%),"1,212 (18.7%)",0.698
data,"",Elective surgical,"1,728 (9.5%)",561 (16.3%),190 (5.9%),178 (3.5%),799 (12.3%),0.437
data,"",Observation,"1,917 (10.6%)",252 (7.3%),264 (8.1%),531 (10.6%),870 (13.4%),0.202
section,Baseline severity,Baseline severity,"","","","","",""
data,"",Charlson comorbidity index,"5 [3, 7]","5 [3, 7]","5 [3, 7]","5 [3, 7]","5 [3, 7]",0.183
data,"",SOFA score at t0,"2 [0, 4]","2 [1, 4]","2 [0, 4]","2 [0, 4]","2 [0, 4]",0.173
data,"",SOFA missing/invalid,11 (0.1%),1 (0.0%),3 (0.1%),5 (0.1%),2 (0.0%),0.028
data,"",Shock at t0,"2,848 (15.7%)",532 (15.5%),601 (18.5%),918 (18.3%),797 (12.3%),0.173
section,Auxiliary covariates,Auxiliary covariates,"","","","","",""
data,"","Minimum mean BP, mmHg","75 [65, 87]","74 [65, 86]","74 [65, 86]","74 [64, 86]","76 [67, 88]",0.148
data,"",Mean BP missing,"1,446 (8.0%)",227 (6.6%),244 (7.5%),460 (9.2%),515 (8.0%),0.095
data,"",Mean BP extreme/invalid,12 (0.1%),3 (0.1%),2 (0.1%),4 (0.1%),3 (0.0%),0.016
