analysis_id,subgroup,arm,cumulative_risk_30d,risk_difference_vs_0_3h,risk_ratio_vs_0_3h,reference_arm,risk_difference_vs_reference,risk_ratio_vs_reference
A1_t0_post_icu,t0>=ICU,0-3h,0.184993186414692,0,1,,,
A1_t0_post_icu,t0>=ICU,3-6h,0.205254755444358,0.0202615690296664,1.10952602715672,,,
A1_t0_post_icu,t0>=ICU,6-12h,0.189860921967925,0.00486773555323289,1.02631305265158,,,
A2s_shock_0,shock=0,0-3h,0.169358061123484,0,1,,,
A2s_shock_0,shock=0,3-6h,0.202901430386315,0.0335433692628308,1.19806184517203,,,
A2s_shock_0,shock=0,6-12h,0.210488880595067,0.0411308194715822,1.24286307500305,,,
A2s_shock_1,shock=1,0-3h,0.225101417409499,0,1,,,
A2s_shock_1,shock=1,3-6h,0.259661369760052,0.0345599523505523,1.15353058522809,,,
A2s_shock_1,shock=1,6-12h,0.243939133124666,0.0188377157151668,1.08368546023368,,,
A2f_sofa_low_lt6,SOFA<6,0-3h,0.168892481284503,0,1,,,
A2f_sofa_low_lt6,SOFA<6,3-6h,0.198005288601047,0.0291128073165446,1.17237477686227,,,
A2f_sofa_low_lt6,SOFA<6,6-12h,0.207657986612113,0.0387655053276099,1.22952773060783,,,
A2f_sofa_high_ge6,SOFA>=6,0-3h,0.272853947584291,0,1,,,
A2f_sofa_high_ge6,SOFA>=6,3-6h,0.310500378698974,0.0376464311146834,1.13797297456514,,,
A2f_sofa_high_ge6,SOFA>=6,6-12h,0.302360513772587,0.0295065661882965,1.10814154007646,,,
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,0-2h,0.180764411524585,,,0-2h,0,1
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,2-6h,0.207124184727266,,,0-2h,0.0263597732026805,1.14582391026554
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,6-12h,0.219916290905077,,,0-2h,0.0391518793804919,1.21659063886798
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,0-4h,0.18704980889396,,,0-4h,0,1
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,4-8h,0.223159277933276,,,0-4h,0.0361094690393161,1.19304734598935
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,8-12h,0.231201916944539,,,0-4h,0.0441521080505796,1.23604465494624
